keyboard,letters,words,time,wpm,lps,accuracy,raw_accuracy,consistency,typer,text_type
simulation1,282,55,22.99,144,12,100,100,89.66120492306813,10Fingers,Code
DVORAK,363,39,33.64,70,11,100,100,68.46129284123678,10Fingers,Code
QWERTY,264,44,25.984,102,10,100,100,85.70089721480309,10Fingers,Article
simulation1,637,91,53.633,102,12,100,100,92.83881755320469,10Fingers,Dummy
QWERTY,690,108,59.742,108,12,100,100,83.00099022765886,10Fingers,Article
COLEMAK,409,57,38.426,89,11,100,100,90.90476753209816,10Fingers,Book
simulation3,274,52,22.019,142,12,100,100,90.37562434721328,10Fingers,Book
COLEMAK,366,60,29.726,121,12,100,100,89.97551435538514,10Fingers,Dummy
QWERTY,456,62,39.241,95,12,100,100,86.17916121288863,10Fingers,Code
COLEMAK,543,69,52.824,78,10,100,100,85.28463430081375,10Fingers,Article
simulation3,529,83,49.252,101,11,100,100,88.83108473065542,10Fingers,Article
QWERTY,313,40,31.065,77,10,100,100,92.79380855915558,10Fingers,Dummy
simulation1,341,54,25.233,128,14,100,100,85.36486492266349,10Fingers,Article
QWERTY,402,64,31.735,121,13,100,100,90.22411590455285,10Fingers,Article
simulation2,315,46,27.148,102,12,100,100,90.25698578412486,10Fingers,Code
DVORAK,260,57,21.322,160,12,100,100,87.87938594992312,10Fingers,Book
simulation1,393,69,29.228,142,13,100,100,91.20788320364572,10Fingers,Book
simulation1,411,75,29.226,154,14,100,100,89.47449375925939,10Fingers,Book
simulation2,510,115,41.774,165,12,100,100,89.39748308274214,10Fingers,Code
COLEMAK,265,43,19.695,131,13,100,100,89.62006310845096,10Fingers,Dummy
simulation2,424,74,36.595,121,12,100,100,91.12395591627754,10Fingers,Article
DVORAK,293,51,20.829,147,14,100,100,91.11411033572062,10Fingers,Article
QWERTY,509,55,51.36,64,10,100,100,84.10592476301514,10Fingers,Dummy
simulation1,398,59,29.905,118,13,100,100,90.84273624234541,10Fingers,Book
DVORAK,561,96,43.986,131,13,100,100,87.84783890986226,10Fingers,Book
DVORAK,280,50,20.544,146,14,100,100,89.88479531113825,10Fingers,Dummy
simulation3,463,72,36.202,119,13,100,100,91.18306009912143,10Fingers,Book
simulation2,307,53,26.942,118,11,100,100,89.71077613117569,10Fingers,Book
COLEMAK,278,46,20.067,138,14,100,100,90.7080861671373,10Fingers,Article
QWERTY,500,89,40.656,131,12,100,100,91.56295688855101,10Fingers,Dummy
DVORAK,453,68,34.875,117,13,100,100,88.99978362556998,10Fingers,Book
COLEMAK,277,40,23.45,102,12,100,100,90.19436615276352,10Fingers,Dummy
simulation1,391,60,29.24,123,13,100,100,94.38011299817249,10Fingers,Dummy
COLEMAK,826,125,68.539,109,12,100,100,91.50532559939676,10Fingers,Code
simulation3,366,26,34.965,45,10,100,100,80.45330322507802,10Fingers,Code
DVORAK,357,46,37.401,74,10,100,100,83.95538743167486,10Fingers,Article
DVORAK,400,64,30.77,125,13,100,100,86.56477159766031,10Fingers,Dummy
simulation2,515,83,47.071,106,11,100,100,92.94474549161419,10Fingers,Code
simulation2,509,44,52.36,50,10,100,100,83.6268788934511,10Fingers,Code
simulation1,279,27,16.792,96,17,100,100,69.10241077126526,10Fingers,Book
simulation3,510,96,37.79,152,13,100,100,94.70368842659083,10Fingers,Dummy
QWERTY,698,112,60.982,110,11,100,100,91.69830337694397,10Fingers,Dummy
simulation2,481,68,44.124,92,11,100,100,91.69074877007604,10Fingers,Book
COLEMAK,516,105,41.333,152,12,100,100,94.19153926213723,10Fingers,Book
COLEMAK,273,52,19.703,158,14,100,100,92.01013022204205,10Fingers,Dummy
simulation2,768,119,71.909,99,11,100,100,89.28963491017609,10Fingers,Code
DVORAK,359,99,31.493,189,11,100,100,88.8094220905273,10Fingers,Code
simulation2,514,58,55.591,63,9,100,100,48.427006601566944,10Fingers,Code
simulation1,362,66,31.398,126,12,100,100,76.86027904863803,10Fingers,Article
DVORAK,307,39,25.045,93,12,100,100,69.57688955912718,10Fingers,Dummy
QWERTY,391,56,32.188,104,12,100,100,90.63746200658228,10Fingers,Article
DVORAK,563,69,54.281,76,10,100,100,92.89194080905068,10Fingers,Article
DVORAK,373,60,30.629,118,12,100,100,86.57959600144747,10Fingers,Dummy
simulation1,854,141,70.334,120,12,100,100,91.74159733838657,10Fingers,Book
simulation2,552,102,47.372,129,12,100,100,94.97103233321006,10Fingers,Dummy
DVORAK,356,56,27.657,121,13,100,100,80.65639382808857,10Fingers,Dummy
simulation1,494,78,38.21,122,13,100,100,94.12471358908752,10Fingers,Dummy
simulation2,674,108,62.983,103,11,100,100,93.18948622110052,10Fingers,Book
COLEMAK,543,101,44.238,137,12,100,100,91.76428406493154,10Fingers,Code
DVORAK,364,57,26.887,127,14,100,100,92.06284102580345,10Fingers,Book
simulation3,382,64,31.476,122,12,100,100,78.65593580709393,10Fingers,Book
COLEMAK,540,86,40.589,127,13,100,100,90.24148459474888,10Fingers,Dummy
simulation2,715,111,67.659,98,11,100,100,92.94823518496122,10Fingers,Dummy
QWERTY,354,56,29.739,113,12,100,100,92.15206515917882,10Fingers,Article
simulation1,652,91,53.226,103,12,100,100,92.4058407891587,10Fingers,Code
simulation2,368,31,37.326,50,10,100,100,78.58712797720501,10Fingers,Book
simulation2,402,69,33.894,122,12,100,100,90.93201419367261,10Fingers,Article
simulation1,375,51,34.952,88,11,100,100,88.52639008771489,10Fingers,Dummy
QWERTY,912,152,77.1,118,12,100,100,94.50434469023371,10Fingers,Article
DVORAK,391,63,27.983,135,14,100,100,94.17846044213707,10Fingers,Dummy
DVORAK,457,79,36.689,129,12,100,100,89.87391628921642,10Fingers,Article
simulation2,452,76,40.681,112,11,100,100,91.39672799437183,10Fingers,Dummy
DVORAK,391,59,30.495,116,13,100,100,88.5201145147359,10Fingers,Book
simulation3,267,53,21.005,151,13,100,100,94.56703964074823,10Fingers,Book
simulation2,551,95,54.25,105,10,100,100,89.20349671745647,10Fingers,Dummy
DVORAK,348,56,26.768,126,13,100,100,90.39115806899298,10Fingers,Dummy
simulation2,391,56,36.594,92,11,100,100,84.93161289318141,10Fingers,Code
simulation1,508,66,48.411,82,10,100,100,84.14872705654963,10Fingers,Dummy
COLEMAK,385,63,30.604,124,13,100,100,87.06027874130879,10Fingers,Code
simulation1,409,57,35.191,97,12,100,100,87.46192292782075,10Fingers,Code
COLEMAK,360,58,32.712,106,11,100,100,78.17042846882563,10Fingers,Code
COLEMAK,398,44,40.31,65,10,100,100,72.30878386166887,10Fingers,Code
simulation2,547,78,53.917,87,10,100,100,81.64010136647923,10Fingers,Article
DVORAK,383,63,28.431,133,13,100,100,87.62293464932615,10Fingers,Book
simulation3,291,48,22.878,126,13,100,100,92.15872961736409,10Fingers,Article
simulation3,538,80,43.0,112,13,100,100,85.6509680408408,10Fingers,Article
simulation3,292,37,22.901,97,13,100,100,91.16188586914595,10Fingers,Code
simulation3,299,24,33.851,43,9,100,100,87.21114989596643,10Fingers,Code
QWERTY,510,84,49.173,102,10,100,100,86.5174508364264,10Fingers,Article
DVORAK,275,43,22.218,116,12,100,100,85.88236753456981,10Fingers,Book
simulation3,567,111,43.544,153,13,100,100,90.46872263040036,10Fingers,Book
COLEMAK,549,107,41.144,156,13,100,100,88.4573029690849,10Fingers,Book
simulation3,362,66,28.15,141,13,100,100,82.87355092529894,10Fingers,Dummy
simulation3,468,78,35.931,130,13,100,100,92.96952561202767,10Fingers,Dummy
QWERTY,516,77,43.076,107,12,100,100,90.35956852045436,10Fingers,Code
simulation1,296,51,27.4,112,11,100,100,79.64996007836159,10Fingers,Article
simulation3,540,95,45.328,126,12,100,100,82.09986050777158,10Fingers,Dummy
QWERTY,837,129,73.666,105,11,100,100,93.20110116584725,10Fingers,Book
simulation2,403,65,37.571,104,11,100,100,90.12725187689337,10Fingers,Article
simulation2,432,64,40.604,95,11,100,100,91.16099543126566,10Fingers,Code
DVORAK,506,70,51.073,82,10,100,100,91.48107286313669,10Fingers,Dummy
simulation3,849,129,73.088,106,12,100,100,92.6592814433986,10Fingers,Article
simulation2,628,89,60.102,89,10,100,100,78.48093567410156,10Fingers,Code
simulation3,373,60,32.609,110,11,100,100,65.34179488394633,10Fingers,Dummy
DVORAK,577,91,46.998,116,12,100,100,88.18884713225599,10Fingers,Book
DVORAK,420,78,30.1,155,14,100,100,87.67081303321154,10Fingers,Dummy
QWERTY,751,126,61.369,123,12,100,100,91.58103015367128,10Fingers,Book
simulation1,527,91,41.678,131,13,100,100,91.43308722708628,10Fingers,Code
QWERTY,284,66,25.078,158,11,100,100,83.496670344151,10Fingers,Book
QWERTY,271,52,21.153,147,13,100,100,88.01584874575663,10Fingers,Dummy
simulation1,319,53,24.904,128,13,100,100,83.71719577804923,10Fingers,Dummy
simulation1,744,121,56.007,130,13,100,100,90.07220053151336,10Fingers,Book
QWERTY,328,58,27.28,128,12,100,100,92.7136280331675,10Fingers,Book
DVORAK,417,77,29.994,154,14,100,100,93.8413342333247,10Fingers,Dummy
QWERTY,382,51,31.294,98,12,100,100,92.76351867732777,10Fingers,Book
simulation2,531,80,46.821,103,11,100,100,91.83000535488243,10Fingers,Code
simulation1,524,36,50.455,43,10,100,100,79.02750119989446,10Fingers,Code
simulation2,568,82,50.897,97,11,100,100,90.39519525563253,10Fingers,Book
simulation1,310,47,26.738,105,12,100,100,88.81475343692556,10Fingers,Article
QWERTY,573,94,46.165,122,12,100,100,90.46952095901887,10Fingers,Dummy
QWERTY,587,97,48.05,121,12,100,100,88.09316809685603,10Fingers,Dummy
COLEMAK,406,71,41.641,102,10,100,100,83.95212466042861,10Fingers,Code
simulation2,290,46,30.338,91,10,100,100,83.85403157866705,10Fingers,Article
simulation3,369,59,31.916,111,12,100,100,86.31937539614758,10Fingers,Code
DVORAK,295,26,26.514,59,11,100,100,89.81688753864732,10Fingers,Book
COLEMAK,306,60,25.319,142,12,100,100,94.5620128815662,10Fingers,Dummy
DVORAK,811,123,68.937,107,12,100,100,93.8755888167695,10Fingers,Article
simulation1,542,79,44.985,105,12,100,100,93.01529140325916,10Fingers,Dummy
COLEMAK,279,45,21.379,126,13,100,100,92.56338891260657,10Fingers,Article
simulation3,350,57,29.233,117,12,100,100,81.38099339304787,10Fingers,Book
DVORAK,413,75,29.914,150,14,100,100,93.7141097918211,10Fingers,Code
DVORAK,269,44,25.008,106,11,100,100,89.06344878084735,10Fingers,Book
simulation2,269,52,22.62,138,12,100,100,91.27013379922802,10Fingers,Code
simulation3,270,68,22.852,179,12,100,100,83.77921039077248,10Fingers,Dummy
simulation3,834,134,73.27,110,11,100,100,91.97069298473707,10Fingers,Dummy
simulation3,375,63,28.774,131,13,100,100,90.62645125217063,10Fingers,Dummy
simulation3,463,74,36.979,120,13,100,100,90.14015985882321,10Fingers,Code
QWERTY,363,36,33.754,64,11,100,100,57.87565790025022,10Fingers,Code
simulation3,514,53,53.036,60,10,100,100,84.80996110720939,10Fingers,Book
DVORAK,526,86,48.184,107,11,100,100,91.71069693391337,10Fingers,Code
simulation2,276,40,25.831,93,11,100,100,92.06188037723106,10Fingers,Article
QWERTY,382,63,34.146,111,11,100,100,90.50395938085353,10Fingers,Code
simulation2,260,49,22.542,130,12,100,100,85.59042607453588,10Fingers,Dummy
COLEMAK,363,62,27.481,135,13,100,100,89.64018416287384,10Fingers,Book
simulation2,351,62,29.009,128,12,100,100,90.50454185944041,10Fingers,Code
simulation3,501,84,53.951,93,9,100,100,76.03185171405808,10Fingers,Code
simulation1,523,82,46.234,106,11,100,100,75.30848940882427,10Fingers,Book
COLEMAK,352,63,25.358,149,14,100,100,91.47442549103911,10Fingers,Article
simulation3,510,88,43.334,122,12,100,100,84.95697985123252,10Fingers,Article
simulation1,523,72,38.714,112,14,100,100,93.55792424982107,10Fingers,Article
simulation1,564,88,40.236,131,14,100,100,94.5955710484168,10Fingers,Article
QWERTY,595,94,49.278,114,12,100,100,85.82366305859088,10Fingers,Article
simulation1,359,48,29.278,98,12,100,100,92.1872420737365,10Fingers,Code
simulation3,378,32,34.545,56,11,100,100,85.18359186929496,10Fingers,Dummy
QWERTY,482,64,38.882,99,12,100,100,91.48063404778453,10Fingers,Dummy
COLEMAK,806,137,63.892,129,13,100,100,93.9749416066479,10Fingers,Dummy
simulation1,630,100,53.365,112,12,100,100,89.42964979870959,10Fingers,Book
COLEMAK,351,59,28.548,124,12,100,100,91.87047313118522,10Fingers,Dummy
simulation3,370,53,29.562,108,13,100,100,92.0357917480777,10Fingers,Code
DVORAK,279,35,28.323,74,10,100,100,81.55843241895074,10Fingers,Book
QWERTY,517,89,41.928,127,12,100,100,93.38248245393889,10Fingers,Code
COLEMAK,266,42,24.378,103,11,100,100,68.76774129325278,10Fingers,Code
QWERTY,554,83,56.388,88,10,100,100,67.21611617559066,10Fingers,Book
simulation2,373,67,33.445,120,11,100,100,92.08253652908388,10Fingers,Code
QWERTY,270,51,25.62,119,11,100,100,82.85642141585531,10Fingers,Book
simulation2,283,56,27.33,123,10,100,100,89.12615601263764,10Fingers,Code
simulation2,358,32,37.088,52,10,100,100,86.83887223240977,10Fingers,Dummy
DVORAK,665,101,59.337,102,11,100,100,92.72666533412955,10Fingers,Code
simulation1,353,48,33.756,85,10,100,100,83.89210762536669,10Fingers,Book
COLEMAK,547,91,48.846,112,11,100,100,69.11183187360851,10Fingers,Code
simulation1,384,30,41.676,43,9,100,100,86.74630500419833,10Fingers,Dummy
QWERTY,442,69,46.896,88,9,100,100,82.85049734255419,10Fingers,Article
COLEMAK,396,57,35.333,97,11,100,100,88.59430914333478,10Fingers,Dummy
DVORAK,361,50,31.624,95,11,100,100,93.02566851828743,10Fingers,Code
simulation2,509,75,56.273,80,9,100,100,76.33285801991462,10Fingers,Dummy
simulation3,301,45,28.994,93,10,100,100,91.81502875122725,10Fingers,Code
DVORAK,261,36,25.506,85,10,100,100,89.37139175514626,10Fingers,Code
simulation3,265,40,23.704,101,11,100,100,76.72394898085972,10Fingers,Article
simulation2,503,84,48.989,103,10,100,100,83.72678643741622,10Fingers,Dummy
COLEMAK,323,49,28.145,104,11,100,100,91.04837387067204,10Fingers,Code
QWERTY,368,91,36.704,149,10,100,100,85.99720255231924,10Fingers,Article
simulation2,523,72,55.23,78,9,100,100,94.15856704718058,10Fingers,Code
QWERTY,500,122,47.475,154,11,100,100,92.37287310553599,10Fingers,Code
DVORAK,300,47,21.186,133,14,100,100,91.9487018189611,10Fingers,Article
DVORAK,580,82,49.675,99,12,100,100,89.04028919846517,10Fingers,Book
simulation1,540,102,44.71,137,12,100,100,96.14636613259992,10Fingers,Dummy
QWERTY,457,74,37.143,120,12,100,100,92.66206577331064,10Fingers,Code
simulation1,275,24,24.855,58,11,100,100,88.27644960049348,10Fingers,Book
DVORAK,420,79,31.381,151,13,100,100,87.81651865144781,10Fingers,Code
simulation1,261,21,23.834,53,11,100,100,85.16482760688592,10Fingers,Code
simulation1,262,19,25.344,45,10,100,100,58.842925575390375,10Fingers,Book
COLEMAK,275,50,19.03,158,14,100,100,86.78959563406386,10Fingers,Article
QWERTY,340,50,27.185,110,13,100,100,91.75362996609792,10Fingers,Book
simulation2,324,56,29.87,112,11,100,100,90.23318008592418,10Fingers,Code
COLEMAK,379,78,31.775,147,12,100,100,92.06264250365572,10Fingers,Book
