keyboard,letters,words,time,wpm,lps,text
simulation1,721566,122570,41673.877108252425,2.94117102859451,17.31458770024334,Electric Transmission of Water Power.txt
simulation1,289591,47267,17555.197762065683,2.6924789250815135,16.496026073016704,Standard methods for the examination of water and sewage.txt
simulation1,66675,11365,3971.4072802620826,2.8617059893313175,16.788759070714086,The martyrdom of Nurse Cavell.txt
simulation1,688817,112600,39898.18889263916,2.8221832400210434,17.26436760960546,The Mystery of Space.txt
simulation1,235145,40389,13484.906158778767,2.9951265158568776,17.4376445213094,The Train Wire A Discussion of the Science of Train Dispatching.txt
simulation1,190624,31612,11354.924590151644,2.7839903073788554,16.78778211925177,Weather Warnings for Watchers.txt
simulation2,721566,122570,48636.69384479416,2.520113731232151,14.835835723180699,Electric Transmission of Water Power.txt
simulation2,289591,47267,20569.79719496192,2.297883618005574,14.078456741952147,Standard methods for the examination of water and sewage.txt
simulation2,66675,11365,4614.283991006295,2.4630040158238056,14.449695798948722,The martyrdom of Nurse Cavell.txt
simulation2,688817,112600,47133.761583110565,2.3889457624011903,14.614089282592369,The Mystery of Space.txt
simulation2,235145,40389,15727.182849390472,2.568101381333233,14.951501629493254,The Train Wire A Discussion of the Science of Train Dispatching.txt
simulation2,190624,31612,13172.160155789692,2.3999100850671984,14.471734153354726,Weather Warnings for Watchers.txt
simulation3,721566,122570,43178.659160422714,2.838670824506447,16.71117200094492,Electric Transmission of Water Power.txt
simulation3,289591,47267,18052.328968881913,2.6183325199467338,16.04175286741055,Standard methods for the examination of water and sewage.txt
simulation3,66675,11365,4065.526846954279,2.7954556513417637,16.400088478065296,The martyrdom of Nurse Cavell.txt
simulation3,688817,112600,41404.772205394875,2.719493285494484,16.63617412463991,The Mystery of Space.txt
simulation3,235145,40389,13991.057963900732,2.8867724016447056,16.806806219137496,The Train Wire A Discussion of the Science of Train Dispatching.txt
simulation3,190624,31612,11718.655824574134,2.697579011895659,16.26671205756036,Weather Warnings for Watchers.txt
QWERTY,721566,122570,43552.59323149018,2.814298550456399,16.567693137461223,Electric Transmission of Water Power.txt
QWERTY,289591,47267,18524.86313725096,2.5515438170742835,15.632558138455135,Standard methods for the examination of water and sewage.txt
QWERTY,66675,11365,4188.993034837388,2.7130625201531697,15.916713025183688,The martyrdom of Nurse Cavell.txt
QWERTY,688817,112600,41669.77412453305,2.7021984727703825,16.530375181334605,The Mystery of Space.txt
QWERTY,235145,40389,14143.879819424677,2.8555813903714915,16.62521196461671,The Train Wire A Discussion of the Science of Train Dispatching.txt
QWERTY,190624,31612,11924.099460632315,2.651101670559503,15.986448337616562,Weather Warnings for Watchers.txt
DVORAK,721566,122570,42236.67826949776,2.9019801040679116,17.083871875433356,Electric Transmission of Water Power.txt
DVORAK,289591,47267,17807.85467412161,2.654278174714018,16.26198131663967,Standard methods for the examination of water and sewage.txt
DVORAK,66675,11365,4035.5862044219207,2.81619557216917,16.521763288550762,The martyrdom of Nurse Cavell.txt
DVORAK,688817,112600,40152.82421413195,2.8042859301630387,17.15488296231895,The Mystery of Space.txt
DVORAK,235145,40389,13630.251144541726,2.963188247354774,17.25169973072466,The Train Wire A Discussion of the Science of Train Dispatching.txt
DVORAK,190624,31612,11516.102672999124,2.7450258909308007,16.552822201467574,Weather Warnings for Watchers.txt
COLEMAK,721566,122570,41728.98148341347,2.9372871237875624,17.291723266402027,Electric Transmission of Water Power.txt
COLEMAK,289591,47267,17725.172712019725,2.666659488623628,16.33783798358273,Standard methods for the examination of water and sewage.txt
COLEMAK,66675,11365,3970.9896887344407,2.862006927956048,16.79052458613898,The martyrdom of Nurse Cavell.txt
COLEMAK,688817,112600,39834.061663793844,2.8267265575467264,17.292160809854916,The Mystery of Space.txt
COLEMAK,235145,40389,13419.280318294557,3.0097739254270977,17.522921827590554,The Train Wire A Discussion of the Science of Train Dispatching.txt
COLEMAK,190624,31612,11383.638968550795,2.7769678999249217,16.745436193701387,Weather Warnings for Watchers.txt
simulation1,578043,71715,39805.62276864732,1.8016298957765817,14.52164191374723,CPP.txt
simulation1,354601,55690,24891.92587395261,2.237271647119723,14.245623331662792,javasript.txt
simulation1,495824,51649,35088.35223810252,1.4719699474492347,14.130729098802869,python.txt
simulation2,578043,71715,41771.68837390833,1.7168326872033985,13.83815264601707,CPP.txt
simulation2,354601,55690,26691.290306796636,2.0864484017027523,13.285270060912149,javasript.txt
simulation2,495824,51649,39532.20837181819,1.3065042942761491,12.542279331742675,python.txt
simulation3,578043,71715,40994.66939991497,1.7493737856597704,14.100443020067358,CPP.txt
simulation3,354601,55690,24767.781866709793,2.2484855648237336,14.31702693072474,javasript.txt
simulation3,495824,51649,35676.41824223423,1.4477069881095075,13.89780769564577,python.txt
QWERTY,578043,71715,40408.91976969926,1.7747319257411995,14.304836736404102,CPP.txt
QWERTY,354601,55690,25871.389663353217,2.1525708794408054,13.706298912203073,javasript.txt
QWERTY,495824,51649,37039.529697819366,1.3944291523507313,13.386347074195998,python.txt
DVORAK,578043,71715,41265.280091640445,1.7379016897677155,14.007974711823183,CPP.txt
DVORAK,354601,55690,25566.395298273135,2.1782499781563476,13.869808233151714,javasript.txt
DVORAK,495824,51649,36729.653926849256,1.4061934834143577,13.499283194649278,python.txt
COLEMAK,578043,71715,39414.7884596282,1.819494732883224,14.665637507913512,CPP.txt
COLEMAK,354601,55690,25335.103187064586,2.198135906090716,13.996430067079798,javasript.txt
COLEMAK,495824,51649,36435.03725857254,1.41756407804545,13.608439494139425,python.txt
